"id","publishDate","category","size","price","region","court","bailiff","period","ends","href","address","pricePerMeter"
"17612","20 февруари 2021 г. в 12:05 часа","Етаж от къща","82.00","6040.00","гр. Русе","гр. Русе","Иван Иванов Хаджииванов","от 08.03.2021 до 08.04.2021","09.04.2021 09:00","https://sales.bcpea.org/properties/17612","гр.Русе ул. Орлова чука № 5","73.65853658536585"
"17608","19 февруари 2021 г. в 19:23 часа","Къща с парцел","784.00","220000.00","гр. Варна","гр. Варна","Николай Петров Георгиев","от 08.03.2021 до 08.04.2021","09.04.2021 10:00","https://sales.bcpea.org/properties/17608","АЛЕН МАК","280.61224489795916"
"17607","19 февруари 2021 г. в 19:04 часа","Парцел","7450.00","7963.20","гр. Варна","гр. Варна","Николай Петров Георгиев","от 08.03.2021 до 08.04.2021","09.04.2021 10:30","https://sales.bcpea.org/properties/17607","М-СТ ТАУШАНЛИЯТА","1.0688859060402685"
"17606","19 февруари 2021 г. в 18:58 часа","Склад","111.00","29500.00","гр. Варна","гр. Варна","Николай Петров Георгиев","от 08.03.2021 до 08.04.2021","09.04.2021 10:15","https://sales.bcpea.org/properties/17606","УЛ.АНГЕЛ КЪНЧЕВ №60","265.76576576576576"
"17547","19 февруари 2021 г. в 14:27 часа","Магазин","100.80","103870.80","гр. София","гр. София град","Ренета Милчева Василева","от 08.03.2021 до 08.04.2021","09.04.2021 09:00","https://sales.bcpea.org/properties/17547","ж.к. Люлин 5 бл. 551 вх. А","1030.4642857142858"
"17466","19 февруари 2021 г. в 10:32 часа","Паркомясто","15.64","8459.42","гр. Кърджали","гр. Кърджали","Росен Росенов Сираков","от 08.03.2021 до 08.04.2021","09.04.2021 15:15","https://sales.bcpea.org/properties/17466","кв.'Възрожденци' ул.'Ангел Кънчев' №1","540.883631713555"
"17464","19 февруари 2021 г. в 10:18 часа","Къща","82.00","23760.00","с. Чакаларово","гр. Кърджали","Росен Росенов Сираков","от 08.03.2021 до 08.04.2021","09.04.2021 13:00","https://sales.bcpea.org/properties/17464","Росен Росенов Сираков","289.7560975609756"
"17420","18 февруари 2021 г. в 16:47 часа","Други","234.00","197856.00","гр. Ямбол","гр. Ямбол","Ирина Станева Христова","от 08.03.2021 до 08.04.2021","09.04.2021 09:00","https://sales.bcpea.org/properties/17420","гр. Ямбол п.к. 8600 ул. Мраморно Море № 43 ет. 0","845.5384615384615"
"17276","17 февруари 2021 г. в 09:30 часа","Парцел","1693.00","8992.00","с. Айдемир","гр. Силистра","Георги Петров Георгиев","от 08.03.2021 до 08.04.2021","09.04.2021 08:30","https://sales.bcpea.org/properties/17276","Георги Петров Георгиев","5.311281748375665"
"17242","16 февруари 2021 г. в 15:47 часа","Двустаен апартамент","66.40","19800.00","гр. Гълъбово","гр. Стара Загора","Румяна Бончева Манджурова ","от 08.03.2021 до 08.04.2021","09.04.2021 10:30","https://sales.bcpea.org/properties/17242","ГР. ГЪЛЪБОВО КВ.СЪЕДИНЕНИЕ № 3 ","298.1927710843373"
"17094","15 февруари 2021 г. в 14:46 часа","Производствен имот","9115.00","594432.00","с. Хан Крум","гр. Шумен","Даниела Жечева Златева","от 08.03.2021 до 08.04.2021","09.04.2021 09:00","https://sales.bcpea.org/properties/17094","Даниела Жечева Златева","65.21470104223808"
"17073","15 февруари 2021 г. в 13:34 часа","Гараж","20.22","26240.00","гр. Пловдив","гр. Пловдив","Кремена Павлова Петрова","от 08.03.2021 до 08.04.2021","09.04.2021 10:00","https://sales.bcpea.org/properties/17073","ул. Сава Муткуров № 38","1297.7250247279921"
"17060","15 февруари 2021 г. в 12:35 часа","Жилищна сграда","120.00","26640.00","с. Блатец","гр. Сливен","Миглена Стоянова Минкова","от 08.03.2021 до 08.04.2021","09.04.2021 16:00","https://sales.bcpea.org/properties/17060","с. Блатец","222"
"16989","12 февруари 2021 г. в 15:19 часа","Хотел","921.00","301019.76","с. Проглед","гр. Смолян","Петко Иванов Мачкърски","от 08.03.2021 до 08.04.2021","09.04.2021 10:00","https://sales.bcpea.org/properties/16989","БАЗА ЗА ОТДИХ 'РОДОПИ ДАЙМЪНД' I","326.84013029315963"
"16983","12 февруари 2021 г. в 15:04 часа","Парцел","1010.00","60648.00","гр. Чепеларе","гр. Смолян","Петко Иванов Мачкърски","от 08.03.2021 до 08.04.2021","09.04.2021 11:00","https://sales.bcpea.org/properties/16983","Петко Иванов Мачкърски","60.04752475247525"
"16963","12 февруари 2021 г. в 12:40 часа","Двустаен апартамент","51.00","39204.00","гр. Несебър","гр. Бургас","Наско Великов Георгиев","от 08.03.2021 до 08.04.2021","09.04.2021 10:20","https://sales.bcpea.org/properties/16963","гр.Несебър Черно море 2 № 49","768.7058823529412"
"16952","12 февруари 2021 г. в 10:33 часа","Парцел","1804.00","6120.00","с. Кошарица","гр. Бургас","Наско Великов Георгиев","от 08.03.2021 до 08.04.2021","09.04.2021 10:50","https://sales.bcpea.org/properties/16952","местност 'Червената пръст'","3.3924611973392462"
"16951","12 февруари 2021 г. в 10:32 часа","Парцел","1802.00","6120.00","с. Кошарица","гр. Бургас","Наско Великов Георгиев","от 08.03.2021 до 08.04.2021","09.04.2021 10:40","https://sales.bcpea.org/properties/16951","местност 'Червената пръст'","3.3962264150943398"
"16949","12 февруари 2021 г. в 10:30 часа","Двустаен апартамент","55.00","46800.00","гр. Несебър","гр. Бургас","Наско Великов Георгиев","от 08.03.2021 до 08.04.2021","09.04.2021 10:10","https://sales.bcpea.org/properties/16949","а-в Каролина вх. Б ет.6 ап.88","850.9090909090909"
"16849","11 февруари 2021 г. в 11:24 часа","Магазин","43.42","69264.00","гр. Несебър","гр. Бургас","Наско Великов Георгиев","от 08.03.2021 до 08.04.2021","09.04.2021 10:30","https://sales.bcpea.org/properties/16849","гр.Несебър'Виктория Резиденс' блок/секция/ В ет.първи-партерен ","1595.2095808383233"
"16762","10 февруари 2021 г. в 14:05 часа","Парцел","1430.00","66960.00","с. Кабиле","гр. Ямбол","Ирина Станева Христова","от 08.03.2021 до 08.04.2021","09.04.2021 09:00","https://sales.bcpea.org/properties/16762","УПИ II-419 с площ 530 кв.м. в кв. 30 по плана на с. Кабиле Община Тунджа ведно с построените в имота ЖИЛИЩНА СГРАДА с площ 50 кв.м. ГАРАЖ с площ 40 кв.м. заедно с всички подобрения при граници и съседни за целия имот: улица УПИ III-309 УПИ XII – ","46.82517482517483"
"16758","10 февруари 2021 г. в 13:45 часа","Парцел","8627.00","33264.00","гр. Елхово","гр. Ямбол","Ирина Станева Христова","от 08.03.2021 до 08.04.2021","09.04.2021 14:00","https://sales.bcpea.org/properties/16758","Поземлен имот с идентификатор № 27382.500.7251 по кадастралната карта и кадастралните регистри на гр. Елхово с адрес гр. Елхово местност „Табята' с площ 8 627 кв.м.","3.8558015532630114"
"16756","10 февруари 2021 г. в 13:44 часа","Парцел","496.00","3680.00","гр. Елхово","гр. Ямбол","Ирина Станева Христова","от 08.03.2021 до 08.04.2021","09.04.2021 14:00","https://sales.bcpea.org/properties/16756","Поземлен имот с идентификатор № 27382.500.7250 по кадастралната карта и кадастралните регистри на гр. Елхово с адрес гр. Елхово местност „Табята' с площ 496 кв.м.","7.419354838709677"
"16754","10 февруари 2021 г. в 13:41 часа","Парцел","3277.00","15480.00","гр. Елхово","гр. Ямбол","Ирина Станева Христова","от 08.03.2021 до 08.04.2021","09.04.2021 14:00","https://sales.bcpea.org/properties/16754","Поземлен имот с идентификатор с идентификатор № 27382.500.7249 по кадастралната карта и кадастралните регистри на гр. Елхово с адрес гр. Елхово местност „Табята' с площ от 3 277 кв.м.","4.723832773878548"
"16752","10 февруари 2021 г. в 13:39 часа","Парцел","4680.00","19800.00","гр. Елхово","гр. Ямбол","Ирина Станева Христова","от 08.03.2021 до 08.04.2021","09.04.2021 14:00","https://sales.bcpea.org/properties/16752","Поземлен имот с идентификатор № 27382.500.7254 по кадастралната карта и кадастралните регистри на гр. Елхово с адрес гр. Елхово п.к. 8700 ул. Александър Стамболийски 170 с площ от 4 680 кв.м.","4.230769230769231"
"16743","10 февруари 2021 г. в 13:04 часа","Двустаен апартамент","60.03","16484.00","гр. Елхово","гр. Ямбол","Ирина Станева Христова","от 08.03.2021 до 08.04.2021","09.04.2021 14:00","https://sales.bcpea.org/properties/16743","ЖИЛИЩЕ – АПАРТАМЕНТ № 10 находящ се в гр.Елхово ул.  „3 – ти март”  № 104 вх.А ет.4 представляващ самостоятелен обект в сграда с идентификатор № 27382.500.2591.1.10 ","274.59603531567546"
"16721","10 февруари 2021 г. в 11:47 часа","Други","7067.00","195648.00","с. Савино","гр. Ямбол","Ирина Станева Христова","от 08.03.2021 до 08.04.2021","09.04.2021 09:00","https://sales.bcpea.org/properties/16721","с.СавиноСтопански двор","27.68473185227112"
"16714","10 февруари 2021 г. в 10:56 часа","Земеделска земя","2027.00","3720.00","с. Изворово","гр. Добрич","Лучия Тасева Тасева","от 08.03.2021 до 08.04.2021","09.04.2021 10:30","https://sales.bcpea.org/properties/16714","Лучия Тасева Тасева","1.8352244696595954"
"16487","8 февруари 2021 г. в 14:50 часа","Други","1145.00","10800.00","гр. Стралджа","гр. Ямбол","Ирина Станева Христова","от 08.03.2021 до 08.04.2021","09.04.2021 09:00","https://sales.bcpea.org/properties/16487","гр. Стралджа ул. „Г.С.Раковски” 25","9.43231441048035"
